run_order,run_id,method,task,run_num,seed
1,20260519_spec-kit_2_C,spec-kit,C,2,1d9b2c16497b3e9f
2,20260519_bare_3_F,bare,F,3,1d9b2c16497b3e9f
3,20260519_bigpowers_19_H,bigpowers,H,19,1d9b2c16497b3e9f
4,20260519_bmad_22_B,bmad,B,22,1d9b2c16497b3e9f
5,20260519_bigpowers_19_A,bigpowers,A,19,1d9b2c16497b3e9f
6,20260519_bmad_8_J,bmad,J,8,1d9b2c16497b3e9f
7,20260519_acps_15_D,acps,D,15,1d9b2c16497b3e9f
8,20260519_bmad_12_B,bmad,B,12,1d9b2c16497b3e9f
9,20260519_spec-kit_11_F,spec-kit,F,11,1d9b2c16497b3e9f
10,20260519_spec-kit_28_D,spec-kit,D,28,1d9b2c16497b3e9f
11,20260519_bigpowers_20_B,bigpowers,B,20,1d9b2c16497b3e9f
12,20260519_bmad_30_H,bmad,H,30,1d9b2c16497b3e9f
13,20260519_superpowers_13_C,superpowers,C,13,1d9b2c16497b3e9f
14,20260519_spec-kit_14_A,spec-kit,A,14,1d9b2c16497b3e9f
15,20260519_spec-kit_20_A,spec-kit,A,20,1d9b2c16497b3e9f
16,20260519_spec-kit_30_A,spec-kit,A,30,1d9b2c16497b3e9f
17,20260519_acps_25_H,acps,H,25,1d9b2c16497b3e9f
18,20260519_bigpowers_21_F,bigpowers,F,21,1d9b2c16497b3e9f
19,20260519_bare_27_F,bare,F,27,1d9b2c16497b3e9f
20,20260519_bare_15_F,bare,F,15,1d9b2c16497b3e9f
21,20260519_gsd_27_F,gsd,F,27,1d9b2c16497b3e9f
22,20260519_bare_30_J,bare,J,30,1d9b2c16497b3e9f
23,20260519_bare_18_A,bare,A,18,1d9b2c16497b3e9f
24,20260519_bare_18_G,bare,G,18,1d9b2c16497b3e9f
25,20260519_superpowers_18_H,superpowers,H,18,1d9b2c16497b3e9f
26,20260519_acps_1_E,acps,E,1,1d9b2c16497b3e9f
27,20260519_acps_11_G,acps,G,11,1d9b2c16497b3e9f
28,20260519_spec-kit_2_A,spec-kit,A,2,1d9b2c16497b3e9f
29,20260519_acps_2_B,acps,B,2,1d9b2c16497b3e9f
30,20260519_bmad_13_H,bmad,H,13,1d9b2c16497b3e9f
31,20260519_bigpowers_22_G,bigpowers,G,22,1d9b2c16497b3e9f
32,20260519_bigpowers_2_D,bigpowers,D,2,1d9b2c16497b3e9f
33,20260519_bmad_3_F,bmad,F,3,1d9b2c16497b3e9f
34,20260519_spec-kit_23_J,spec-kit,J,23,1d9b2c16497b3e9f
35,20260519_gsd_7_H,gsd,H,7,1d9b2c16497b3e9f
36,20260519_superpowers_3_F,superpowers,F,3,1d9b2c16497b3e9f
37,20260519_superpowers_27_E,superpowers,E,27,1d9b2c16497b3e9f
38,20260519_bmad_5_F,bmad,F,5,1d9b2c16497b3e9f
39,20260519_bigpowers_12_H,bigpowers,H,12,1d9b2c16497b3e9f
40,20260519_bare_2_G,bare,G,2,1d9b2c16497b3e9f
41,20260519_gsd_16_A,gsd,A,16,1d9b2c16497b3e9f
42,20260519_bigpowers_4_B,bigpowers,B,4,1d9b2c16497b3e9f
43,20260519_bmad_12_F,bmad,F,12,1d9b2c16497b3e9f
44,20260519_spec-kit_19_F,spec-kit,F,19,1d9b2c16497b3e9f
45,20260519_spec-kit_16_J,spec-kit,J,16,1d9b2c16497b3e9f
46,20260519_gsd_26_C,gsd,C,26,1d9b2c16497b3e9f
47,20260519_bigpowers_23_I,bigpowers,I,23,1d9b2c16497b3e9f
48,20260519_acps_15_A,acps,A,15,1d9b2c16497b3e9f
49,20260519_superpowers_23_H,superpowers,H,23,1d9b2c16497b3e9f
50,20260519_bare_21_D,bare,D,21,1d9b2c16497b3e9f
51,20260519_bigpowers_22_F,bigpowers,F,22,1d9b2c16497b3e9f
52,20260519_acps_29_A,acps,A,29,1d9b2c16497b3e9f
53,20260519_gsd_10_J,gsd,J,10,1d9b2c16497b3e9f
54,20260519_bigpowers_30_G,bigpowers,G,30,1d9b2c16497b3e9f
55,20260519_spec-kit_17_J,spec-kit,J,17,1d9b2c16497b3e9f
56,20260519_bmad_8_E,bmad,E,8,1d9b2c16497b3e9f
57,20260519_bare_15_I,bare,I,15,1d9b2c16497b3e9f
58,20260519_bare_11_B,bare,B,11,1d9b2c16497b3e9f
59,20260519_acps_2_E,acps,E,2,1d9b2c16497b3e9f
60,20260519_bigpowers_2_F,bigpowers,F,2,1d9b2c16497b3e9f
61,20260519_bigpowers_26_E,bigpowers,E,26,1d9b2c16497b3e9f
62,20260519_superpowers_26_C,superpowers,C,26,1d9b2c16497b3e9f
63,20260519_bigpowers_29_E,bigpowers,E,29,1d9b2c16497b3e9f
64,20260519_acps_25_J,acps,J,25,1d9b2c16497b3e9f
65,20260519_bigpowers_2_H,bigpowers,H,2,1d9b2c16497b3e9f
66,20260519_acps_18_A,acps,A,18,1d9b2c16497b3e9f
67,20260519_gsd_2_F,gsd,F,2,1d9b2c16497b3e9f
68,20260519_spec-kit_3_E,spec-kit,E,3,1d9b2c16497b3e9f
69,20260519_bmad_2_D,bmad,D,2,1d9b2c16497b3e9f
70,20260519_bigpowers_28_F,bigpowers,F,28,1d9b2c16497b3e9f
71,20260519_bigpowers_20_C,bigpowers,C,20,1d9b2c16497b3e9f
72,20260519_superpowers_25_E,superpowers,E,25,1d9b2c16497b3e9f
73,20260519_acps_7_J,acps,J,7,1d9b2c16497b3e9f
74,20260519_superpowers_22_A,superpowers,A,22,1d9b2c16497b3e9f
75,20260519_bare_28_B,bare,B,28,1d9b2c16497b3e9f
76,20260519_bigpowers_2_G,bigpowers,G,2,1d9b2c16497b3e9f
77,20260519_spec-kit_5_G,spec-kit,G,5,1d9b2c16497b3e9f
78,20260519_acps_24_I,acps,I,24,1d9b2c16497b3e9f
79,20260519_gsd_20_F,gsd,F,20,1d9b2c16497b3e9f
80,20260519_bigpowers_1_E,bigpowers,E,1,1d9b2c16497b3e9f
81,20260519_acps_29_C,acps,C,29,1d9b2c16497b3e9f
82,20260519_acps_6_B,acps,B,6,1d9b2c16497b3e9f
83,20260519_gsd_29_J,gsd,J,29,1d9b2c16497b3e9f
84,20260519_gsd_1_G,gsd,G,1,1d9b2c16497b3e9f
85,20260519_spec-kit_14_C,spec-kit,C,14,1d9b2c16497b3e9f
86,20260519_superpowers_9_H,superpowers,H,9,1d9b2c16497b3e9f
87,20260519_acps_12_F,acps,F,12,1d9b2c16497b3e9f
88,20260519_acps_21_F,acps,F,21,1d9b2c16497b3e9f
89,20260519_acps_17_E,acps,E,17,1d9b2c16497b3e9f
90,20260519_acps_21_D,acps,D,21,1d9b2c16497b3e9f
91,20260519_superpowers_26_D,superpowers,D,26,1d9b2c16497b3e9f
92,20260519_bmad_27_B,bmad,B,27,1d9b2c16497b3e9f
93,20260519_bmad_9_G,bmad,G,9,1d9b2c16497b3e9f
94,20260519_bmad_1_A,bmad,A,1,1d9b2c16497b3e9f
95,20260519_acps_11_I,acps,I,11,1d9b2c16497b3e9f
96,20260519_bmad_5_I,bmad,I,5,1d9b2c16497b3e9f
97,20260519_spec-kit_27_E,spec-kit,E,27,1d9b2c16497b3e9f
98,20260519_bare_13_J,bare,J,13,1d9b2c16497b3e9f
99,20260519_bare_17_F,bare,F,17,1d9b2c16497b3e9f
100,20260519_superpowers_3_E,superpowers,E,3,1d9b2c16497b3e9f
101,20260519_superpowers_30_A,superpowers,A,30,1d9b2c16497b3e9f
102,20260519_bigpowers_5_F,bigpowers,F,5,1d9b2c16497b3e9f
103,20260519_bare_21_C,bare,C,21,1d9b2c16497b3e9f
104,20260519_spec-kit_29_D,spec-kit,D,29,1d9b2c16497b3e9f
105,20260519_gsd_29_D,gsd,D,29,1d9b2c16497b3e9f
